PP2,ECH,PER,PP3,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P12,P13,DP13,P15,P17,P17A,P15A,P23A,P20,P21,P23,P24,P25,P19,P19A,COEQ,PL9A,PL9B,PLP2,PL27,PL24,PL25,PL26,PL28,PL29,PWE,menage_id_constr,household_id,person_id_constr,person_id,person_weight,trip_weight,number_of_trips,is_passenger
1010,0104,01,3,1,1,1,43,1.0,6.0,1.0,0.0,36.0,4.0,5.0,8888.0,0,,,,,1.0,5.0,5.0,2.0,2.0,4.0,1.0,1.0,94.31228,53 2   3,,0,0,,,,,,,10100104,7,1010010401,10,94.31228,94.31228,4,True
1010,0104,02,3,1,2,2,41,1.0,6.0,6.0,0.0,36.0,4.0,,,0,,,,,1.0,5.0,5.0,5.0,5.0,4.0,1.0,,94.31228,4   3,,1,0,,,,,,,10100104,7,1010010402,11,94.31228,94.31228,14,False
1010,0104,03,3,1,1,3,14,2.0,0.0,5.0,0.0,85.0,4.0,5.0,1033.0,1011,,,,,1.0,5.0,5.0,5.0,5.0,5.0,1.0,,27.51308,4   3,,0,0,,,,,,,10100104,7,1010010403,12,27.51308,27.51308,7,False
1010,0104,04,3,1,2,3,11,2.0,0.0,5.0,0.0,84.0,4.0,5.0,1050.0,848,,,,,1.0,5.0,5.0,5.0,5.0,5.0,1.0,,27.51308,4   3,,0,0,,,,,,,10100104,7,1010010404,13,27.51308,27.51308,8,False
1010,0126,01,5,1,1,1,32,1.0,6.0,6.0,0.0,47.0,3.0,,,0,,,,,1.0,4.0,5.0,3.0,3.0,2.0,1.0,,47.88093,52223,,1,0,,,,,,,10100126,8,1010012601,14,47.88093,47.88093,4,False
1010,0059,01,5,1,2,1,28,1.0,6.0,6.0,0.0,81.0,4.0,,,0,,,,,2.0,5.0,5.0,1.0,4.0,4.0,1.0,,47.88093,4   3,,0,0,,,,,,,10100059,9,1010005901,15,47.88093,47.88093,3,False
1010,0062,01,2,1,2,1,22,1.0,0.0,4.0,0.0,86.0,3.0,5.0,1253.0,4517,4.0,,3.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,,63.44084,421553,,0,0,,,,,,,10100062,10,1010006201,16,63.44084,63.44084,2,False
1010,0007,01,2,1,1,1,42,1.0,0.0,3.0,0.0,36.0,3.0,5.0,1308.0,4134,3.0,,1.0,1.0,1.0,2.0,5.0,2.0,5.0,1.0,1.0,,57.146269999999994,351353,,0,0,,,,,,,10100007,11,1010000701,17,57.146269999999994,57.146269999999994,4,False
1010,0022,01,2,1,2,1,18,1.0,0.0,4.0,0.0,86.0,3.0,5.0,1093.0,1775,4.0,,3.0,4.0,1.0,3.0,5.0,5.0,5.0,2.0,1.0,,63.44084,442552,,0,0,,,,,,,10100022,12,1010002201,18,63.44084,63.44084,6,False
1010,0046,01,2,1,1,1,22,1.0,0.0,3.0,0.0,86.0,4.0,5.0,1190.0,2960,4.0,,3.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,1.0,,63.44084,452253,,0,0,,,,,,,10100046,13,1010004601,19,63.44084,63.44084,2,False
1010,0061,01,1,1,2,1,19,2.0,0.0,4.0,0.0,86.0,3.0,5.0,1302.0,4042,4.0,,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,,63.44084,241513,,0,0,,,,,,,10100061,14,1010006101,20,63.44084,63.44084,2,False
1010,0071,01,5,1,1,1,78,1.0,6.0,7.0,1.0,31.0,4.0,,,0,,,,,1.0,5.0,5.0,2.0,4.0,4.0,1.0,,54.82357,4   3,,0,0,,,,,,,10100071,15,1010007101,21,54.82357,54.82357,7,False
1010,0071,02,5,1,2,2,68,1.0,6.0,7.0,0.0,32.0,4.0,,,0,,,,,3.0,5.0,5.0,5.0,3.0,3.0,2.0,,54.82357,4   3,15.0,0,0,,,,,,,10100071,15,1010007102,22,54.82357,54.82357,0,False
1010,0100,01,2,1,2,1,18,2.0,0.0,5.0,0.0,85.0,3.0,5.0,1193.0,3504,4.0,,3.0,5.0,1.0,4.0,5.0,5.0,2.0,1.0,1.0,,63.44084,451113,,0,0,,,,,,,10100100,16,1010010001,23,63.44084,63.44084,7,False
1010,0103,01,2,1,1,1,67,2.0,5.0,7.0,0.0,32.0,4.0,,,0,,,,,1.0,5.0,5.0,5.0,4.0,4.0,1.0,,54.82357,5   3,,0,0,,,,,,,10100103,17,1010010301,24,54.82357,54.82357,2,False
1010,0103,02,2,1,1,6,27,2.0,2.0,6.0,0.0,61.0,4.0,,,0,,,,,1.0,5.0,5.0,5.0,2.0,1.0,1.0,,37.22053,51423,,0,0,,,,,,,10100103,17,1010010302,25,37.22053,37.22053,4,False
1010,0112,01,2,1,2,2,52,1.0,6.0,2.0,0.0,36.0,4.0,5.0,1350.0,14870,1.0,3.0,,5.0,1.0,5.0,5.0,1.0,4.0,4.0,1.0,1.0,94.31228,4334   3,,0,0,,,,,,,10100112,18,1010011201,26,94.31228,94.31228,7,False
1010,0112,02,2,1,1,1,51,1.0,6.0,1.0,0.0,21.0,4.0,5.0,1350.0,14870,1.0,3.0,,5.0,1.0,5.0,5.0,1.0,4.0,4.0,1.0,1.0,94.31228,5334   3,,0,0,,,,,,,10100112,18,1010011202,27,94.31228,94.31228,3,False
1010,0112,03,2,1,1,3,18,2.0,0.0,5.0,0.0,85.0,4.0,1.0,,0,,,,,1.0,5.0,5.0,5.0,5.0,4.0,1.0,,104.7006,4   3,,0,0,,,,,,,10100112,18,1010011203,28,104.7006,104.7006,2,False
1010,0112,04,2,1,2,3,17,2.0,0.0,5.0,0.0,85.0,4.0,5.0,1023.0,450,,,,,1.0,5.0,5.0,5.0,5.0,3.0,1.0,,27.51308,4   3,,0,0,,,,,,,10100112,18,1010011204,29,27.51308,27.51308,7,False
1010,0112,05,2,1,2,3,13,2.0,0.0,5.0,0.0,84.0,4.0,5.0,1010.0,552,,,,,1.0,5.0,5.0,5.0,4.0,4.0,1.0,,27.51308,4   3,,0,0,,,,,,,10100112,18,1010011205,30,27.51308,27.51308,4,False
1010,0112,06,2,1,1,3,9,2.0,0.0,5.0,0.0,83.0,4.0,5.0,1020.0,804,,,,,1.0,5.0,5.0,5.0,1.0,4.0,1.0,,91.56173000000001,4   3,,0,0,,,,,,,10100112,18,1010011206,31,91.56173000000001,91.56173000000001,3,True
1010,0159,01,3,1,1,1,30,1.0,6.0,1.0,0.0,36.0,2.0,5.0,1120.0,3812,3.0,,3.0,1.0,1.0,5.0,4.0,2.0,5.0,1.0,1.0,1.0,32.51303,51321453,,0,0,,,,,,,10100159,19,1010015901,32,32.51303,32.51303,6,False
1010,0159,02,3,1,1,4,28,1.0,6.0,1.0,0.0,36.0,4.0,5.0,1318.0,6635,3.0,,3.0,1.0,1.0,5.0,1.0,2.0,5.0,2.0,1.0,1.0,32.51303,51422443,,0,0,,,,,,,10100159,19,1010015902,33,32.51303,32.51303,2,False
1010,0159,03,3,1,2,4,28,1.0,6.0,1.0,0.0,36.0,2.0,3.0,9620.0,43311,3.0,,3.0,1.0,1.0,1.0,5.0,4.0,2.0,2.0,1.0,1.0,32.51303,53312453,,0,0,,,,,,,10100159,19,1010015903,34,32.51303,32.51303,9,False
1010,0024,01,2,1,2,1,66,1.0,4.0,7.0,0.0,56.0,4.0,,,0,,,,,1.0,5.0,5.0,4.0,4.0,4.0,1.0,,70.52568000000001,4   3,,0,0,,,,,,,10100024,20,1010002401,35,70.52568000000001,70.52568000000001,4,True
1010,0025,01,5,1,2,1,39,1.0,4.0,6.0,0.0,56.0,1.0,,,0,,,,,1.0,2.0,5.0,4.0,3.0,1.0,1.0,,37.22053,41433,,0,0,,,,,,,10100025,21,1010002501,36,37.22053,37.22053,6,True
1010,0025,02,5,1,2,3,4,,,,,,,,,0,,,,,,,,,,,,,51.8262,,,0,0,,,,,,,10100025,21,1010002502,37,51.8262,51.8262,0,False
1010,0120,01,3,1,1,1,19,1.0,0.0,4.0,0.0,86.0,3.0,5.0,1500.0,8866,1.0,5.0,,1.0,1.0,5.0,5.0,1.0,5.0,3.0,1.0,,49.31612,35   3,,0,0,,,,,,,10100120,22,1010012001,38,49.31612,49.31612,4,False
1010,0120,02,3,1,1,4,18,3.0,0.0,4.0,0.0,86.0,3.0,5.0,1053.0,1212,4.0,,3.0,1.0,1.0,5.0,5.0,5.0,3.0,3.0,1.0,,49.31612,35   3,,0,0,,,,,,,10100120,22,1010012002,39,49.31612,49.31612,10,False
1010,0041,01,3,1,2,1,52,1.0,5.0,1.0,0.0,46.0,3.0,4.0,1060.0,143,4.0,,1.0,1.0,1.0,1.0,5.0,5.0,5.0,3.0,1.0,1.0,57.146269999999994,5135   3,,1,0,,,,,,,10100041,23,1010004101,40,57.146269999999994,57.146269999999994,8,False
1010,0042,01,1,1,1,1,28,1.0,6.0,1.0,0.0,32.0,4.0,5.0,9596.0,45238,1.0,4.0,,1.0,1.0,3.0,5.0,2.0,4.0,4.0,1.0,1.0,47.88093,4131   3,,0,0,,,,,,,10100042,24,1010004201,41,47.88093,47.88093,3,False
1010,0066,01,2,1,2,1,37,1.0,6.0,1.0,0.0,32.0,2.0,4.0,1253.0,6445,3.0,,3.0,5.0,1.0,3.0,5.0,2.0,4.0,1.0,1.0,1.0,47.88093,53451522,,1,0,,,,,,,10100066,25,1010006601,42,47.88093,47.88093,6,True
1010,0079,01,2,1,2,1,63,2.0,4.0,7.0,0.0,51.0,4.0,,,0,,,,,1.0,4.0,5.0,5.0,3.0,4.0,1.0,,47.57845,3   3,,0,0,,,,,,,10100079,26,1010007901,43,47.57845,47.57845,6,False
1010,0101,01,1,1,2,1,94,1.0,4.0,7.0,0.0,32.0,4.0,,,0,,,,,2.0,5.0,5.0,5.0,4.0,5.0,1.0,,70.52568000000001,5   3,,0,0,,,,,,,10100101,27,1010010101,44,70.52568000000001,70.52568000000001,2,False
1010,0131,01,4,1,2,2,59,1.0,6.0,1.0,0.0,36.0,3.0,3.0,1050.0,630,4.0,,1.0,4.0,1.0,5.0,5.0,1.0,4.0,5.0,1.0,1.0,32.307629999999996,5333   3,,0,0,,,,,,,10100131,28,1010013101,45,32.307629999999996,32.307629999999996,7,False
1010,0131,02,4,1,1,1,57,1.0,6.0,1.0,0.0,36.0,4.0,3.0,1050.0,630,4.0,,1.0,4.0,1.0,2.0,5.0,2.0,4.0,2.0,1.0,1.0,32.307629999999996,53332553,,0,0,,,,,,,10100131,28,1010013102,46,32.307629999999996,32.307629999999996,9,False
1010,0131,03,4,1,2,3,28,1.0,4.0,6.0,0.0,66.0,4.0,,,0,,,,,1.0,4.0,5.0,4.0,5.0,2.0,1.0,,32.51303,32553,,0,0,,,,,,,10100131,28,1010013103,47,32.51303,32.51303,6,False
1010,0160,01,2,1,2,1,60,1.0,4.0,6.0,0.0,31.0,4.0,,,0,,,,,3.0,5.0,5.0,5.0,3.0,5.0,2.0,,47.57845,4   3,1.0,0,0,,,,,,,10100160,29,1010016001,48,47.57845,47.57845,0,False
1010,0083,01,5,1,2,1,20,2.0,0.0,4.0,0.0,87.0,4.0,5.0,1018.0,618,4.0,,1.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,1.0,,63.44084,34   3,,0,0,,,,,,,10100083,30,1010008301,49,63.44084,63.44084,2,False
1010,0001,01,4,1,1,1,28,2.0,3.0,6.0,0.0,41.0,1.0,,,0,,,,,1.0,5.0,5.0,5.0,2.0,2.0,1.0,,47.88093,42543,,0,0,,,,,,,10100001,31,1010000101,50,47.88093,47.88093,3,True
1010,0029,01,3,1,2,1,18,2.0,0.0,4.0,0.0,86.0,3.0,5.0,1093.0,1814,4.0,,1.0,2.0,1.0,5.0,5.0,5.0,4.0,1.0,1.0,,63.44084,231543,,1,0,,,,,,,10100029,32,1010002901,51,63.44084,63.44084,8,False
1010,0048,01,1,1,1,1,47,1.0,6.0,1.0,0.0,32.0,2.0,4.0,1253.0,5992,3.0,,2.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,44.423,52421543,,1,0,,,,,,,10100048,33,1010004801,52,44.423,44.423,4,False
1010,0048,02,1,1,2,2,40,1.0,6.0,1.0,0.0,32.0,4.0,3.0,1010.0,295,3.0,,1.0,5.0,1.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,44.423,62322553,,0,0,,,,,,,10100048,33,1010004802,53,44.423,44.423,2,False
1010,0051,01,1,1,2,2,31,1.0,6.0,6.0,0.0,36.0,1.0,,,0,,,,,1.0,4.0,5.0,5.0,3.0,2.0,1.0,,37.22053,32423,,0,0,,,,,,,10100051,34,1010005101,54,37.22053,37.22053,3,False
1010,0051,02,1,2,1,1,30,1.0,6.0,1.0,0.0,36.0,4.0,5.0,9623.0,87532,,,,,,,,,,,2.0,,37.22053,52,,0,0,,,,,,,10100051,34,1010005102,55,37.22053,37.22053,0,False
1010,0110,01,3,1,2,1,19,1.0,0.0,4.0,0.0,86.0,3.0,5.0,1093.0,1814,4.0,,1.0,2.0,1.0,5.0,5.0,5.0,4.0,1.0,1.0,,63.44084,441543,,0,0,,,,,,,10100110,35,1010011001,56,63.44084,63.44084,2,False
1010,0013,01,5,1,2,1,26,1.0,4.0,6.0,0.0,55.0,4.0,,,0,,,,,1.0,5.0,5.0,5.0,4.0,2.0,1.0,,47.88093,42423,,0,0,,,,,,,10100013,36,1010001301,57,47.88093,47.88093,7,False
1010,0015,01,5,1,2,1,22,1.0,0.0,4.0,0.0,88.0,3.0,5.0,1240.0,5008,1.0,1.0,,2.0,1.0,4.0,5.0,1.0,4.0,2.0,1.0,,63.44084,432443,,0,0,,,,,,,10100015,37,1010001501,58,63.44084,63.44084,8,False
1010,0075,01,4,1,2,1,20,2.0,0.0,4.0,0.0,86.0,3.0,5.0,1093.0,1761,4.0,,1.0,4.0,1.0,5.0,5.0,5.0,3.0,1.0,1.0,,63.44084,431333,,1,0,,,,,,,10100075,38,1010007501,59,63.44084,63.44084,3,False
1010,0078,01,3,1,2,1,18,2.0,4.0,2.0,2.0,55.0,3.0,5.0,1050.0,1603,4.0,,1.0,4.0,1.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,63.44084,51441533,,0,0,,,,,,,10100078,39,1010007801,60,63.44084,63.44084,6,False
1010,0085,01,3,1,1,1,36,1.0,6.0,1.0,0.0,36.0,4.0,5.0,1081.0,1867,1.0,4.0,,1.0,1.0,2.0,5.0,1.0,5.0,5.0,1.0,1.0,32.51303,5225   3,,1,0,,,,,,,10100085,40,1010008501,61,32.51303,32.51303,4,False
1010,0085,02,3,1,2,2,29,1.0,6.0,2.0,0.0,36.0,2.0,5.0,1560.0,7544,4.0,,3.0,3.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,32.51303,42351153,,1,0,,,,,,,10100085,40,1010008502,62,32.51303,32.51303,3,False
1010,0085,03,3,1,2,3,1,,,,,,,,,0,,,,,,,,,,,,,45.27143,,,0,0,,,,,,,10100085,40,1010008503,63,45.27143,45.27143,0,False
1010,0127,01,2,1,2,2,65,1.0,6.0,8.0,0.0,82.0,4.0,,,0,,,,,4.0,5.0,5.0,5.0,4.0,4.0,2.0,,54.82357,5   1,3.0,0,0,,,,,,,10100127,41,1010012701,64,54.82357,54.82357,0,False
1010,0127,02,2,1,1,1,60,1.0,3.0,1.0,0.0,61.0,4.0,5.0,9595.0,32527,1.0,4.0,,5.0,4.0,5.0,5.0,1.0,5.0,4.0,1.0,1.0,36.9854,5134   3,,0,0,,,,,,,10100127,41,1010012702,65,36.9854,36.9854,4,False
1010,0130,01,4,1,1,1,65,1.0,6.0,7.0,0.0,22.0,4.0,,,0,,,,,1.0,5.0,5.0,5.0,5.0,5.0,1.0,,54.82357,5   3,,0,0,,,,,,,10100130,42,1010013001,66,54.82357,54.82357,5,False
1010,0130,02,4,1,2,2,59,1.0,6.0,1.0,0.0,41.0,4.0,5.0,1060.0,1331,3.0,,1.0,1.0,2.0,1.0,5.0,4.0,5.0,4.0,1.0,1.0,36.9854,5124   3,,0,0,,,,,,,10100130,42,1010013002,67,36.9854,36.9854,3,False
1010,0132,01,1,1,1,1,38,2.0,4.0,1.0,0.0,36.0,2.0,4.0,1010.0,326,4.0,,1.0,5.0,1.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,37.22053,5233   3,,0,0,,,,,,,10100132,43,1010013201,68,37.22053,37.22053,5,False
1010,0132,02,1,1,1,2,30,2.0,5.0,6.0,0.0,54.0,4.0,,,0,,,,,1.0,4.0,5.0,5.0,4.0,2.0,1.0,,37.22053,42543,,0,0,,,,,,,10100132,43,1010013202,69,37.22053,37.22053,3,False
1010,0145,01,3,1,1,1,38,1.0,6.0,1.0,0.0,36.0,4.0,5.0,9594.0,46300,1.0,4.0,,1.0,1.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,47.88093,6143   3,,0,0,,,,,,,10100145,44,1010014501,70,47.88093,47.88093,10,False
1010,0153,01,3,1,1,1,22,1.0,0.0,4.0,0.0,88.0,3.0,5.0,1253.0,5687,4.0,,3.0,2.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,,63.44084,451553,,0,0,,,,,,,10100153,45,1010015301,71,63.44084,63.44084,2,False
1010,0014,01,4,1,2,1,33,2.0,5.0,1.0,0.0,46.0,4.0,5.0,1010.0,843,4.0,,1.0,1.0,1.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,32.51303,52342453,,0,0,,,,,,,10100014,46,1010001401,72,32.51303,32.51303,10,True
1010,0014,02,4,1,1,3,9,2.0,0.0,5.0,0.0,83.0,4.0,5.0,1020.0,422,,,,,1.0,2.0,5.0,5.0,3.0,2.0,1.0,,37.67285,52453,,0,0,,,,,,,10100014,46,1010001402,73,37.67285,37.67285,3,False
1010,0014,03,4,1,1,3,7,2.0,0.0,5.0,0.0,83.0,4.0,5.0,1020.0,422,,,,,1.0,2.0,5.0,5.0,3.0,2.0,1.0,,37.67285,52453,,0,0,,,,,,,10100014,46,1010001403,74,37.67285,37.67285,3,False
1010,0067,01,5,1,1,1,54,1.0,2.0,1.0,0.0,48.0,4.0,5.0,1015.0,228,4.0,,1.0,4.0,1.0,1.0,5.0,2.0,3.0,3.0,1.0,1.0,57.146269999999994,5144   3,,0,0,,,,,,,10100067,47,1010006701,75,57.146269999999994,57.146269999999994,4,False
1010,0082,01,1,1,2,1,20,1.0,0.0,4.0,0.0,86.0,4.0,5.0,1473.0,9452,4.0,,3.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,,49.31612,321543,,0,0,,,,,,,10100082,48,1010008201,76,49.31612,49.31612,4,False
1010,0082,02,1,1,2,4,19,1.0,0.0,4.0,0.0,86.0,4.0,5.0,1473.0,9452,4.0,,3.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,,49.31612,321543,,0,0,,,,,,,10100082,48,1010008202,77,49.31612,49.31612,4,False
1010,0149,01,4,1,2,1,53,1.0,4.0,1.0,0.0,41.0,1.0,5.0,1078.0,591,4.0,,1.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,44.423,52342223,,0,0,,,,,,,10100149,49,1010014901,78,44.423,44.423,4,False
1010,0149,02,4,1,1,3,17,2.0,0.0,4.0,0.0,86.0,1.0,5.0,3033.0,19915,,,,,1.0,4.0,5.0,5.0,2.0,2.0,1.0,,12.95922,13223,,0,0,,,,,,,10100149,49,1010014902,79,12.95922,12.95922,4,False
1010,0156,01,1,1,2,1,38,1.0,5.0,1.0,0.0,46.0,4.0,5.0,1010.0,890,4.0,,3.0,1.0,1.0,2.0,5.0,2.0,4.0,2.0,1.0,1.0,47.88093,53422543,,0,0,,,,,,,10100156,50,1010015601,80,47.88093,47.88093,3,True
1010,0003,01,4,1,2,1,19,2.0,0.0,4.0,1.0,86.0,4.0,5.0,1053.0,1637,4.0,,1.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,1.0,,63.44084,33   3,,0,0,,,,,,,10100003,51,1010000301,81,63.44084,63.44084,5,False
1010,0008,01,3,1,2,1,21,1.0,0.0,4.0,0.0,88.0,3.0,5.0,1500.0,8410,4.0,,1.0,1.0,1.0,5.0,5.0,4.0,2.0,1.0,1.0,,63.44084,231313,,0,0,,,,,,,10100008,52,1010000801,82,63.44084,63.44084,5,True
1010,0021,01,5,1,1,1,26,1.0,6.0,1.0,0.0,36.0,2.0,5.0,1190.0,3968,4.0,,3.0,3.0,1.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,47.88093,52332413,,0,0,,,,,,,10100021,53,1010002101,83,47.88093,47.88093,2,False
1010,0023,01,3,1,2,1,25,1.0,6.0,1.0,0.0,36.0,3.0,5.0,1248.0,6726,4.0,,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,47.88093,51441553,,0,0,,,,,,,10100023,54,1010002301,84,47.88093,47.88093,4,False
1010,0032,01,1,1,2,1,41,2.0,4.0,6.0,0.0,46.0,3.0,,,0,,,,,1.0,5.0,5.0,5.0,4.0,3.0,1.0,,44.423,4   3,,0,0,,,,,,,10100032,55,1010003201,85,44.423,44.423,3,False
1010,0032,02,1,1,1,3,15,2.0,0.0,5.0,0.0,84.0,3.0,5.0,1020.0,984,,,,,1.0,5.0,5.0,5.0,5.0,1.0,1.0,,12.95922,41443,,0,0,,,,,,,10100032,55,1010003202,86,12.95922,12.95922,6,False
1010,0039,01,1,1,1,1,27,1.0,5.0,1.0,0.0,47.0,4.0,5.0,1250.0,5184,4.0,,3.0,5.0,1.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,47.88093,51341543,,0,0,,,,,,,10100039,56,1010003901,87,47.88093,47.88093,8,False
1010,0045,01,3,1,1,1,18,1.0,0.0,4.0,0.0,86.0,4.0,5.0,1053.0,1637,4.0,,1.0,1.0,2.0,1.0,5.0,5.0,5.0,3.0,1.0,,63.44084,35   3,,1,0,,,,,,,10100045,57,1010004501,88,63.44084,63.44084,5,False
1010,0054,01,5,1,1,1,24,1.0,5.0,1.0,0.0,36.0,4.0,5.0,1318.0,7884,1.0,4.0,,2.0,1.0,5.0,5.0,1.0,3.0,5.0,1.0,1.0,49.31612,5145   3,,1,0,,,,,,,10100054,58,1010005401,89,49.31612,49.31612,6,True
1010,0054,02,5,1,2,2,22,1.0,0.0,4.0,0.0,88.0,3.0,5.0,1302.0,4534,4.0,,2.0,1.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,,49.31612,441533,,1,0,,,,,,,10100054,58,1010005402,90,49.31612,49.31612,5,False
1010,0060,01,4,1,2,1,24,1.0,0.0,4.0,0.0,88.0,3.0,5.0,1253.0,5971,3.0,,3.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,1.0,,63.44084,411553,,0,0,,,,,,,10100060,59,1010006001,91,63.44084,63.44084,6,False
1010,0076,01,2,1,1,1,21,1.0,0.0,3.0,0.0,88.0,2.0,5.0,8888.0,0,,,,,1.0,5.0,5.0,3.0,4.0,2.0,1.0,,49.31612,52553,,0,0,,,,,,,10100076,60,1010007601,92,49.31612,49.31612,4,False
1010,0076,02,2,1,1,4,21,1.0,0.0,3.0,0.0,88.0,4.0,5.0,8888.0,0,,,,,1.0,5.0,5.0,2.0,3.0,3.0,1.0,,49.31612,4   3,,0,0,,,,,,,10100076,60,1010007602,93,49.31612,49.31612,2,True
1010,0081,01,1,1,2,1,22,1.0,0.0,4.0,0.0,88.0,3.0,5.0,1250.0,4745,4.0,,3.0,3.0,1.0,2.0,5.0,4.0,4.0,1.0,1.0,,49.31612,341443,,0,0,,,,,,,10100081,61,1010008101,94,49.31612,49.31612,7,False
1010,0081,02,1,1,2,4,21,1.0,0.0,4.0,0.0,88.0,3.0,5.0,1253.0,4320,4.0,,3.0,1.0,1.0,4.0,5.0,4.0,4.0,2.0,1.0,,49.31612,342543,,0,0,,,,,,,10100081,61,1010008102,95,49.31612,49.31612,6,False
1010,0084,01,1,1,2,1,33,1.0,6.0,1.0,0.0,36.0,2.0,5.0,1010.0,265,4.0,,1.0,1.0,1.0,4.0,5.0,3.0,2.0,2.0,1.0,1.0,47.88093,53442543,,0,0,,,,,,,10100084,62,1010008401,96,47.88093,47.88093,6,False
1010,0086,01,5,1,1,1,32,1.0,6.0,1.0,0.0,36.0,4.0,4.0,9625.0,27173,1.0,3.0,,1.0,2.0,5.0,5.0,1.0,4.0,4.0,1.0,1.0,37.22053,5344   3,,0,0,,,,,,,10100086,63,1010008601,97,37.22053,37.22053,6,False
